Calendar Date,Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
01/01/1976 12:00:00 AM,Jan-76,0.099,0.079,,
02/01/1976 12:00:00 AM,Feb-76,0.099,0.077,,
03/01/1976 12:00:00 AM,Mar-76,0.099,0.076,,
04/01/1976 12:00:00 AM,Apr-76,0.098,0.077,,
05/01/1976 12:00:00 AM,May-76,0.096,0.074,,
06/01/1976 12:00:00 AM,Jun-76,0.094,0.076,,
07/01/1976 12:00:00 AM,Jul-76,0.092,0.078,,
08/01/1976 12:00:00 AM,Aug-76,0.091,0.078,,
09/01/1976 12:00:00 AM,Sep-76,0.09,0.076,,
10/01/1976 12:00:00 AM,Oct-76,0.09,0.077,,
11/01/1976 12:00:00 AM,Nov-76,0.09,0.078,,
12/01/1976 12:00:00 AM,Dec-76,0.09,0.078,,
01/01/1977 12:00:00 AM,Jan-77,0.089,0.075,,
02/01/1977 12:00:00 AM,Feb-77,0.087,0.076,,
03/01/1977 12:00:00 AM,Mar-77,0.086,0.074,,
04/01/1977 12:00:00 AM,Apr-77,0.084,0.072,,
05/01/1977 12:00:00 AM,May-77,0.083,0.07,,
06/01/1977 12:00:00 AM,Jun-77,0.082,0.072,,
07/01/1977 12:00:00 AM,Jul-77,0.082,0.069,,
08/01/1977 12:00:00 AM,Aug-77,0.082,0.07,,
09/01/1977 12:00:00 AM,Sep-77,0.081,0.068,,
10/01/1977 12:00:00 AM,Oct-77,0.079,0.068,,
11/01/1977 12:00:00 AM,Nov-77,0.077,0.068,,
12/01/1977 12:00:00 AM,Dec-77,0.075,0.064,,
01/01/1978 12:00:00 AM,Jan-78,0.073,0.064,,
02/01/1978 12:00:00 AM,Feb-78,0.071,0.063,,
03/01/1978 12:00:00 AM,Mar-78,0.07,0.063,,
04/01/1978 12:00:00 AM,Apr-78,0.069,0.061,,
05/01/1978 12:00:00 AM,May-78,0.069,0.06,,
06/01/1978 12:00:00 AM,Jun-78,0.069,0.059,,
07/01/1978 12:00:00 AM,Jul-78,0.069,0.062,,
08/01/1978 12:00:00 AM,Aug-78,0.07,0.059,,
09/01/1978 12:00:00 AM,Sep-78,0.07,0.06,,
10/01/1978 12:00:00 AM,Oct-78,0.071,0.058,,
11/01/1978 12:00:00 AM,Nov-78,0.071,0.059,,
12/01/1978 12:00:00 AM,Dec-78,0.072,0.06,,
01/01/1979 12:00:00 AM,Jan-79,0.073,0.059,,
02/01/1979 12:00:00 AM,Feb-79,0.073,0.059,,
03/01/1979 12:00:00 AM,Mar-79,0.073,0.058,,
04/01/1979 12:00:00 AM,Apr-79,0.073,0.058,,
05/01/1979 12:00:00 AM,May-79,0.074,0.056,,
06/01/1979 12:00:00 AM,Jun-79,0.075,0.057,,
07/01/1979 12:00:00 AM,Jul-79,0.077,0.057,,
08/01/1979 12:00:00 AM,Aug-79,0.079,0.06,,
09/01/1979 12:00:00 AM,Sep-79,0.082,0.059,,
10/01/1979 12:00:00 AM,Oct-79,0.085,0.06,,
11/01/1979 12:00:00 AM,Nov-79,0.088,0.059,,
12/01/1979 12:00:00 AM,Dec-79,0.092,0.06,,
01/01/1980 12:00:00 AM,Jan-80,0.097,0.063,,
02/01/1980 12:00:00 AM,Feb-80,0.104,0.063,,
03/01/1980 12:00:00 AM,Mar-80,0.112,0.063,,
04/01/1980 12:00:00 AM,Apr-80,0.12,0.069,,
05/01/1980 12:00:00 AM,May-80,0.127,0.075,,
06/01/1980 12:00:00 AM,Jun-80,0.132,0.076,,
07/01/1980 12:00:00 AM,Jul-80,0.134,0.078,,
08/01/1980 12:00:00 AM,Aug-80,0.134,0.077,,
09/01/1980 12:00:00 AM,Sep-80,0.132,0.075,,
10/01/1980 12:00:00 AM,Oct-80,0.13,0.075,,
11/01/1980 12:00:00 AM,Nov-80,0.128,0.075,,
12/01/1980 12:00:00 AM,Dec-80,0.126,0.072,,
01/01/1981 12:00:00 AM,Jan-81,0.124,0.075,,
02/01/1981 12:00:00 AM,Feb-81,0.123,0.074,,
03/01/1981 12:00:00 AM,Mar-81,0.121,0.074,,
04/01/1981 12:00:00 AM,Apr-81,0.119,0.072,,
05/01/1981 12:00:00 AM,May-81,0.118,0.075,,
06/01/1981 12:00:00 AM,Jun-81,0.117,0.075,,
07/01/1981 12:00:00 AM,Jul-81,0.118,0.072,,
08/01/1981 12:00:00 AM,Aug-81,0.12,0.074,,
09/01/1981 12:00:00 AM,Sep-81,0.124,0.076,,
10/01/1981 12:00:00 AM,Oct-81,0.128,0.079,,
11/01/1981 12:00:00 AM,Nov-81,0.134,0.083,,
12/01/1981 12:00:00 AM,Dec-81,0.139,0.085,,
01/01/1982 12:00:00 AM,Jan-82,0.143,0.086,,
02/01/1982 12:00:00 AM,Feb-82,0.147,0.089,,
03/01/1982 12:00:00 AM,Mar-82,0.149,0.09,,
04/01/1982 12:00:00 AM,Apr-82,0.15,0.093,,
05/01/1982 12:00:00 AM,May-82,0.15,0.094,,
06/01/1982 12:00:00 AM,Jun-82,0.151,0.096,,
07/01/1982 12:00:00 AM,Jul-82,0.153,0.098,,
08/01/1982 12:00:00 AM,Aug-82,0.156,0.098,,
09/01/1982 12:00:00 AM,Sep-82,0.16,0.101,,
10/01/1982 12:00:00 AM,Oct-82,0.164,0.104,,
11/01/1982 12:00:00 AM,Nov-82,0.166,0.108,,
12/01/1982 12:00:00 AM,Dec-82,0.166,0.108,,
01/01/1983 12:00:00 AM,Jan-83,0.165,0.104,,
02/01/1983 12:00:00 AM,Feb-83,0.163,0.104,,
03/01/1983 12:00:00 AM,Mar-83,0.159,0.103,,
04/01/1983 12:00:00 AM,Apr-83,0.155,0.102,,
05/01/1983 12:00:00 AM,May-83,0.152,0.101,,
06/01/1983 12:00:00 AM,Jun-83,0.148,0.101,,
07/01/1983 12:00:00 AM,Jul-83,0.144,0.094,,
08/01/1983 12:00:00 AM,Aug-83,0.139,0.095,,
09/01/1983 12:00:00 AM,Sep-83,0.135,0.092,,
10/01/1983 12:00:00 AM,Oct-83,0.13,0.088,,
11/01/1983 12:00:00 AM,Nov-83,0.126,0.085,,
12/01/1983 12:00:00 AM,Dec-83,0.122,0.083,,
01/01/1984 12:00:00 AM,Jan-84,0.12,0.08,,
02/01/1984 12:00:00 AM,Feb-84,0.117,0.078,,
03/01/1984 12:00:00 AM,Mar-84,0.116,0.078,,
04/01/1984 12:00:00 AM,Apr-84,0.114,0.077,,
05/01/1984 12:00:00 AM,May-84,0.113,0.074,,
06/01/1984 12:00:00 AM,Jun-84,0.112,0.072,,
07/01/1984 12:00:00 AM,Jul-84,0.111,0.075,,
08/01/1984 12:00:00 AM,Aug-84,0.111,0.075,,
09/01/1984 12:00:00 AM,Sep-84,0.11,0.073,,
10/01/1984 12:00:00 AM,Oct-84,0.109,0.074,,
11/01/1984 12:00:00 AM,Nov-84,0.108,0.072,,
12/01/1984 12:00:00 AM,Dec-84,0.107,0.073,,
01/01/1985 12:00:00 AM,Jan-85,0.105,0.073,,
02/01/1985 12:00:00 AM,Feb-85,0.104,0.072,,
03/01/1985 12:00:00 AM,Mar-85,0.103,0.072,,
04/01/1985 12:00:00 AM,Apr-85,0.103,0.073,,
05/01/1985 12:00:00 AM,May-85,0.102,0.072,,
06/01/1985 12:00:00 AM,Jun-85,0.102,0.074,,
07/01/1985 12:00:00 AM,Jul-85,0.102,0.074,,
08/01/1985 12:00:00 AM,Aug-85,0.101,0.071,,
09/01/1985 12:00:00 AM,Sep-85,0.098,0.071,,
10/01/1985 12:00:00 AM,Oct-85,0.096,0.071,,
11/01/1985 12:00:00 AM,Nov-85,0.093,0.07,,
12/01/1985 12:00:00 AM,Dec-85,0.091,0.07,,
01/01/1986 12:00:00 AM,Jan-86,0.09,0.067,,
02/01/1986 12:00:00 AM,Feb-86,0.091,0.072,,
03/01/1986 12:00:00 AM,Mar-86,0.091,0.072,,
04/01/1986 12:00:00 AM,Apr-86,0.092,0.071,,
05/01/1986 12:00:00 AM,May-86,0.092,0.072,,
06/01/1986 12:00:00 AM,Jun-86,0.091,0.072,,
07/01/1986 12:00:00 AM,Jul-86,0.09,0.07,,
08/01/1986 12:00:00 AM,Aug-86,0.089,0.069,,
09/01/1986 12:00:00 AM,Sep-86,0.087,0.07,,
10/01/1986 12:00:00 AM,Oct-86,0.086,0.07,,
11/01/1986 12:00:00 AM,Nov-86,0.085,0.069,,
12/01/1986 12:00:00 AM,Dec-86,0.085,0.066,,
01/01/1987 12:00:00 AM,Jan-87,0.084,0.066,,
02/01/1987 12:00:00 AM,Feb-87,0.084,0.066,,
03/01/1987 12:00:00 AM,Mar-87,0.084,0.066,,
04/01/1987 12:00:00 AM,Apr-87,0.085,0.063,,
05/01/1987 12:00:00 AM,May-87,0.085,0.063,,
06/01/1987 12:00:00 AM,Jun-87,0.085,0.062,,
07/01/1987 12:00:00 AM,Jul-87,0.084,0.061,,
08/01/1987 12:00:00 AM,Aug-87,0.084,0.06,,
09/01/1987 12:00:00 AM,Sep-87,0.083,0.059,,
10/01/1987 12:00:00 AM,Oct-87,0.083,0.06,,
11/01/1987 12:00:00 AM,Nov-87,0.083,0.058,,
12/01/1987 12:00:00 AM,Dec-87,0.083,0.057,,
01/01/1988 12:00:00 AM,Jan-88,0.083,0.057,,
02/01/1988 12:00:00 AM,Feb-88,0.082,0.057,,
03/01/1988 12:00:00 AM,Mar-88,0.08,0.057,,
04/01/1988 12:00:00 AM,Apr-88,0.078,0.054,,
05/01/1988 12:00:00 AM,May-88,0.076,0.056,,
06/01/1988 12:00:00 AM,Jun-88,0.074,0.054,,
07/01/1988 12:00:00 AM,Jul-88,0.074,0.054,,
08/01/1988 12:00:00 AM,Aug-88,0.073,0.056,,
09/01/1988 12:00:00 AM,Sep-88,0.073,0.054,,
10/01/1988 12:00:00 AM,Oct-88,0.073,0.054,,
11/01/1988 12:00:00 AM,Nov-88,0.072,0.053,,
